Old URL,Page Type,Title,H1,Suggested Redirect,Status,Notes
https://psmphuket.com/property-feature/sea-view/page/6,archive,Sea View - Phuket Property Service - Page 6,,/properties,200,
https://psmphuket.com/property-feature/terace/page/2,archive,Terace - Phuket Property Service - Page 2,,/properties,200,
https://psmphuket.com/property-feature/mountain-view/page/5,archive,Mountain View - Phuket Property Service - Page 5,,/properties,200,
https://psmphuket.com/property-feature/electric-range/page/2,archive,Electric Range - Phuket Property Service - Page 2,,/properties,200,
https://psmphuket.com/property-feature/emergency-exit/page/6,archive,Emergency Exit - Phuket Property Service - Page 6,,/properties,200,
https://psmphuket.com/property-feature/terace/page/6,archive,Terace - Phuket Property Service - Page 6,,/properties,200,
https://psmphuket.com/property-status/for-sale/page/4,archive,For Sale - Phuket Property Service - Page 4,,/properties,200,
https://psmphuket.com/property-feature/kitchen/page/9,archive,Kitchen - Phuket Property Service - Page 9,,/properties,200,
https://psmphuket.com/property-feature/barbecue-area/page/6,archive,Barbecue Area - Phuket Property Service - Page 6,,/properties,200,
https://psmphuket.com/property-feature/barbecue-area/page/5,archive,Barbecue Area - Phuket Property Service - Page 5,,/properties,200,
https://psmphuket.com/property-status/for-sale/page/10,archive,For Sale - Phuket Property Service - Page 10,,/properties,200,
https://psmphuket.com/property-feature/garden/page/5,archive,Garden - Phuket Property Service - Page 5,,/properties,200,
https://psmphuket.com/property-feature/living-room/page/4,archive,Living room - Phuket Property Service - Page 4,,/properties,200,
https://psmphuket.com/property-type/residential/page/10,archive,Residential - Phuket Property Service - Page 10,,/properties,200,
https://psmphuket.com/property-feature/swimming-pool/page/11,archive,Swimming Pool - Phuket Property Service - Page 11,,/properties,200,
https://psmphuket.com/property-feature/fully-equipped-kitchen/page/10,archive,Fully Equipped Kitchen - Phuket Property Service - Page 10,,/properties,200,
https://psmphuket.com/property-status/for-rent/page/5,archive,For Rent - Phuket Property Service - Page 5,,/properties,200,
https://psmphuket.com/property-type/residential/page/9,archive,Residential - Phuket Property Service - Page 9,,/properties,200,
https://psmphuket.com/property-feature/sunset-view/page/4,archive,Sunset View - Phuket Property Service - Page 4,,/properties,200,
https://psmphuket.com/property-feature/bike-path/page/3,archive,Bike Path - Phuket Property Service - Page 3,,/properties,200,
https://psmphuket.com/property-status/for-sale/page/13,archive,For Sale - Phuket Property Service - Page 13,,/properties,200,
https://psmphuket.com/property-feature/electric-range/page/4,archive,Electric Range - Phuket Property Service - Page 4,,/properties,200,
https://psmphuket.com/property-feature/garden/page/9,archive,Garden - Phuket Property Service - Page 9,,/properties,200,
https://psmphuket.com/author/jum/page/10,archive,jum - Phuket Property Service - Page 10,All Properties By,/properties,200,
https://psmphuket.com/property-feature/fully-furnished/page/6,archive,Fully Furnished - Phuket Property Service - Page 6,,/properties,200,
https://psmphuket.com/property-feature/fully-equipped-kitchen/page/9,archive,Fully Equipped Kitchen - Phuket Property Service - Page 9,,/properties,200,
https://psmphuket.com/property-feature/emergency-exit/page/3,archive,Emergency Exit - Phuket Property Service - Page 3,,/properties,200,
https://psmphuket.com/property-feature/emergency-exit/page/5,archive,Emergency Exit - Phuket Property Service - Page 5,,/properties,200,
https://psmphuket.com/property-feature/barbecue-area/page/8,archive,Barbecue Area - Phuket Property Service - Page 8,,/properties,200,
https://psmphuket.com/property-feature/fire-alarm/page/5,archive,Fire Alarm - Phuket Property Service - Page 5,,/properties,200,
https://psmphuket.com/property-status/for-sale/page/16,archive,For Sale - Phuket Property Service - Page 16,,/properties,200,
https://psmphuket.com/property-feature/covered-car-park/page/9,archive,Covered Car Park - Phuket Property Service - Page 9,,/properties,200,
https://psmphuket.com/property-feature/parking/page/4,archive,Parking - Phuket Property Service - Page 4,,/properties,200,
https://psmphuket.com/property-feature/fire-alarm/page/4,archive,Fire Alarm - Phuket Property Service - Page 4,,/properties,200,
https://psmphuket.com/property-feature/parking/page/3,archive,Parking - Phuket Property Service - Page 3,,/properties,200,
https://psmphuket.com/property-feature/laundry-room/page/3,archive,Laundry Room - Phuket Property Service - Page 3,,/properties,200,
https://psmphuket.com/property-feature/garden/page/10,archive,Garden - Phuket Property Service - Page 10,,/properties,200,
https://psmphuket.com/property-feature/parking/page/6,archive,Parking - Phuket Property Service - Page 6,,/properties,200,
https://psmphuket.com/property-feature/terace/page/11,archive,Terace - Phuket Property Service - Page 11,,/properties,200,
https://psmphuket.com/property-feature/covered-car-park/page/2,archive,Covered Car Park - Phuket Property Service - Page 2,,/properties,200,
https://psmphuket.com/property-feature/kitchen/page/8,archive,Kitchen - Phuket Property Service - Page 8,,/properties,200,
